兑换位置,套装,部件,所需花朵,所需数量
服装圣殿七层,雪滴小厨神,裙子,白色水晶兰,300
服装圣殿七层,雪滴小厨神,手饰,紫色水莲蕉,200
服装圣殿七层,雪滴小厨神,袜子,粉色牵牛花,200
服装圣殿七层,雪滴小厨神,鞋子,白色心之水滴,200
服装圣殿七层,环游世界,头发,粉色天竺葵,300
服装圣殿七层,环游世界,项链,橘色风信子,100
服装圣殿七层,环游世界,上衣,粉色风信子,200
服装圣殿七层,环游世界,裙子,蓝色风信子,200
服装圣殿七层,环游世界,旗子,紫色风信子,100
服装圣殿七层,环游世界,脚饰,红色天竺葵,100
服装圣殿七层,暗影潜行,头饰,白色鸢萝,100
服装圣殿七层,暗影潜行,头发,红色鸢萝,200
服装圣殿七层,暗影潜行,项链,黑色鸢萝,100
服装圣殿七层,暗影潜行,上衣,粉色美女樱,300
服装圣殿七层,暗影潜行,手饰,白色美女樱,100
服装圣殿七层,暗影潜行,裙子,白色鸢萝,300
服装圣殿七层,暗影潜行,鞋子,红色鸢萝,100
服装圣殿七层,魔术师,头饰,紫色水莲蕉,250
服装圣殿七层,魔术师,头发,粉色牵牛花,300
服装圣殿七层,魔术师,面饰,白色心之水滴,150
服装圣殿七层,魔术师,上衣,白色水晶兰,350
服装圣殿七层,魔术师,手持,紫色水莲蕉,300
服装圣殿七层,魔术师,裙子,粉色牵牛花,300
服装圣殿七层,魔术师,鞋子,白色心之水滴,200
服装圣殿七层,美丽花宝,颈饰,粉色苜蓿,100
服装圣殿七层,美丽花宝,上衣,紫色苜蓿,200
服装圣殿七层,美丽花宝,手饰,粉色水莲蕉,100
服装圣殿七层,美丽花宝,手持,蓝色水莲蕉,200
服装圣殿七层,美丽花宝,裙子,白色水莲蕉,200
珍稀花朵,栗色之秋,头发,紫色昙花,80
珍稀花朵,栗色之秋,上衣,紫色昙花,80
珍稀花朵,栗色之秋,手饰,紫色昙花,60
珍稀花朵,栗色之秋,裙子,紫色昙花,80
珍稀花朵,栗色之秋,鞋子,紫色昙花,65
珍稀花朵,护花铃,头饰,紫色夜来香,55
珍稀花朵,护花铃,头发,紫色夜来香,65
珍稀花朵,护花铃,项链,紫色夜来香,50
珍稀花朵,护花铃,上衣,紫色夜来香,70
珍稀花朵,护花铃,裙子,紫色夜来香,70
珍稀花朵,护花铃,鞋子,紫色夜来香,50
珍稀花朵,冰雪假面,头饰,紫色百合,30
珍稀花朵,冰雪假面,头发,紫色百合,50
珍稀花朵,冰雪假面,耳环,紫色百合,25
珍稀花朵,冰雪假面,面饰,紫色百合,60
珍稀花朵,冰雪假面,项链,紫色百合,25
珍稀花朵,冰雪假面,上衣,紫色百合,50
珍稀花朵,冰雪假面,手套,紫色百合,30
珍稀花朵,冰雪假面,裙子,紫色百合,50
珍稀花朵,冰雪假面,鞋子,紫色百合,30
珍稀花朵,绿野仙踪,头饰,紫色百合,40
珍稀花朵,绿野仙踪,头发,紫色百合,60
珍稀花朵,绿野仙踪,耳环,紫色百合,30
珍稀花朵,绿野仙踪,上衣,紫色百合,60
珍稀花朵,绿野仙踪,手环,紫色百合,30
珍稀花朵,绿野仙踪,腰带,紫色百合,40
珍稀花朵,绿野仙踪,短裙,紫色百合,60
珍稀花朵,绿野仙踪,短靴,紫色百合,40
珍稀花朵,紫鸢,鞋子,紫色鸢尾,80
珍稀花朵,黑郁微光,头饰,黑色郁金香,50
珍稀花朵,黑郁微光,项链,黑色郁金香,20
珍稀花朵,黑郁微光,上衣,黑色郁金香,50
珍稀花朵,黑郁微光,手套,黑色郁金香,30
珍稀花朵,黑郁微光,手持,黑色郁金香,35
珍稀花朵,黑郁微光,裙子,黑色郁金香,55
珍稀花朵,黑郁微光,鞋子,黑色郁金香,45
珍稀花朵,蓝紫夜精灵,头发,黑色罗布麻,50
珍稀花朵,蓝紫夜精灵,礼帽,黑色罗布麻,20
珍稀花朵,蓝紫夜精灵,领结,黑色罗布麻,35
珍稀花朵,蓝紫夜精灵,上衣,黑色罗布麻,50
珍稀花朵,蓝紫夜精灵,手饰,黑色罗布麻,30
珍稀花朵,蓝紫夜精灵,短裙,黑色罗布麻,55
珍稀花朵,蓝紫夜精灵,脚饰,黑色罗布麻,35
珍稀花朵,蓝紫夜精灵,鞋子,黑色罗布麻,45
珍稀花朵,缤纷彩菊,礼帽,七彩彩虹菊,25
珍稀花朵,缤纷彩菊,靴子,七彩彩虹菊,28
珍稀花朵,缤纷彩菊,手镯,七彩彩虹菊,15
珍稀花朵,缤纷彩菊,花篮,七彩彩虹菊,28
珍稀花朵,京剧才女,凤冠,黑色玫瑰,39
珍稀花朵,京剧才女,黑发,黑色玫瑰,35
珍稀花朵,京剧才女,上衣,黑色玫瑰,49
珍稀花朵,京剧才女,手镯,黑色玫瑰,25
珍稀花朵,京剧才女,腰带,黑色玫瑰,28
珍稀花朵,京剧才女,长裙,黑色玫瑰,49
珍稀花朵,京剧才女,脚饰,黑色玫瑰,25
珍稀花朵,京剧才女,鞋子,黑色玫瑰,35
珍稀花朵,京剧才女,手持,黑色玫瑰,45
稀有花朵,云朵泡泡,头发,黄色君子兰,95
稀有花朵,云朵泡泡,上衣,紫色雪莲,300
稀有花朵,云朵泡泡,手饰,红色君子兰,85
稀有花朵,云朵泡泡,裙子,紫色雪莲,150
稀有花朵,云朵泡泡,鞋子,紫色雪莲,65
稀有花朵,蓝色妖姬,头发,黄色昙花,60
稀有花朵,蓝色妖姬,面饰,白色昙花,80
稀有花朵,蓝色妖姬,耳环,黄色昙花,50
稀有花朵,蓝色妖姬,项链,白色夜来香,150
稀有花朵,蓝色妖姬,手饰,红色仙客来,150
稀有花朵,蓝色妖姬,裙子,白色昙花,120
稀有花朵,蓝色妖姬,鞋子,黄色昙花,80
稀有花朵,圣诞花精灵,头饰,红色圣诞花,60
稀有花朵,圣诞花精灵,上衣,红色圣诞花,90
稀有花朵,圣诞花精灵,裙子,红色圣诞花,90
稀有花朵,玫红之秋,鞋子,红色喇叭水仙,80
稀有花朵,紫玉薄衣,上衣,红色喇叭水仙,100
稀有花朵,紫玉薄衣,短裤,红色马蹄莲,80
稀有花朵,紫玉薄衣,脚饰,粉色绣球花,80
稀有花朵,紫玉薄衣,鞋子,粉色含羞草,80
稀有花朵,芳草萋萋,上衣,紫色含羞草,130
稀有花朵,芳草萋萋,短裙,紫色含羞草,130
稀有花朵,芳草萋萋,鞋子,紫色沙漠玫瑰,80
稀有花朵,碧溪垂钓,上衣,褐色珍珠吊兰,130
稀有花朵,碧溪垂钓,手花,紫色沙漠玫瑰,80
稀有花朵,碧溪垂钓,腰带,红色马蹄莲,80
稀有花朵,碧溪垂钓,裙子,蓝色绣球花,130
稀有花朵,碧溪垂钓,靴子,粉色绣球花,80
稀有花朵,紫灵,上衣,紫色沙漠玫瑰,130
稀有花朵,紫灵,手链,白色红掌,80
稀有花朵,紫灵,手杖,蓝色海寿花,80
稀有花朵,紫灵,鞋子,蓝色水仙花,80
稀有花朵,春之精灵,头发,紫色沙漠玫瑰,100
稀有花朵,春之精灵,上衣,蓝色海寿花,110
稀有花朵,春之精灵,裙子,蓝色冰雪花,130
稀有花朵,春之精灵,脚饰,白色红掌,65
稀有花朵,琥珀星光,头发,粉色琼花,56
稀有花朵,琥珀星光,手饰,白色琼花,45
稀有花朵,琥珀星光,手持,紫色琼花,75
稀有花朵,琥珀星光,裙子,紫色琼花,75
稀有花朵,琥珀星光,鞋子,粉色琼花,56
稀有花朵,化蝶飞,头饰,粉色君子兰,75
稀有花朵,化蝶飞,头发,粉色君子兰,90
稀有花朵,化蝶飞,上衣,红色君子兰,100
稀有花朵,化蝶飞,糖果,黄色君子兰,150
稀有花朵,化蝶飞,裙子,红色君子兰,100
稀有花朵,化蝶飞,鞋子,黄色君子兰,75
稀有花朵,月兔祥瑞,头花,白色勿忘我,100
稀有花朵,月兔祥瑞,面饰,白色勿忘我,60
稀有花朵,月兔祥瑞,耳环,白色勿忘我,60
稀有花朵,月兔祥瑞,手持,白色勿忘我,120
稀有花朵,月兔祥瑞,项链,黄色勿忘我,80
稀有花朵,月兔祥瑞,裙子,黄色勿忘我,200
稀有花朵,月兔祥瑞,鞋子,黄色勿忘我,120
稀有花朵,月兔祥瑞,头发,蓝色勿忘我,120
稀有花朵,月兔祥瑞,上衣,蓝色勿忘我,200
稀有花朵,月兔祥瑞,手饰,蓝色勿忘我,60
稀有花朵,月兔祥瑞,脚饰,白色勿忘我,80
稀有花朵,月夜潜行,手枪,绿色洋桔梗,120
稀有花朵,月夜潜行,下装,绿色洋桔梗,180
稀有花朵,梦中的乐园,头饰,红色木菊花,280
稀有花朵,梦中的乐园,项链,紫色木菊花,100
稀有花朵,梦中的乐园,上衣,紫色木菊花,350
稀有花朵,梦中的乐园,鞋子,红色木菊花,200
星座勋章,射手座,上衣,紫色睡莲,80
星座勋章,射手座,腰带,粉色雪滴花,40
星座勋章,射手座,手套,粉色满天星,90
星座勋章,射手座,弓箭,蓝色绣球花,60
星座勋章,天秤座,头发,黄色康乃馨,45
星座勋章,天秤座,项链,褐色珍珠吊兰,55
星座勋章,天秤座,上衣,蓝色绣球花,80
星座勋章,天秤座,手饰,黄色喇叭水仙,40
星座勋章,天秤座,手杖,蓝色玫瑰,90
星座勋章,天秤座,腰带,白色喇叭水仙,80
星座勋章,天秤座,裙子,粉色绣球花,45
星座勋章,天秤座,鞋子,红色马蹄莲,45
星座勋章,狮子座,头饰,白色美人蕉,45
星座勋章,狮子座,衣服,红色马蹄莲,80
星座勋章,狮子座,手杖,粉色绣球花,90
星座勋章,狮子座,腰带,蓝色水仙花,80
星座勋章,狮子座,裙子,蓝色绣球花,45
星座勋章,双子座,上衣,蓝色海寿花,90
星座勋章,金牛座,头发,白色红掌,122
绝版装扮,淘气,裙子,紫色雪莲,30
绝版装扮,清新海风,头发,粉色雏菊,80
绝版装扮,清新海风,上衣,紫色雏菊,80
绝版装扮,清新海风,头饰,粉色雏菊,100
绝版装扮,清新海风,手套,黄色雏菊,100
绝版装扮,清新海风,裙子,紫色雏菊,80
绝版装扮,清新海风,鞋子,白色雏菊,100
绝版装扮,雪之华,头饰,白色苜蓿,100
绝版装扮,雪之华,上衣,紫色苜蓿,80
绝版装扮,雪之华,手饰,粉色苜蓿,100
绝版装扮,雪之华,裙子,紫色苜蓿,80
绝版装扮,雪之华,鞋子,黄色苜蓿,100
绝版装扮,天天草莓,手饰,白色含羞草,50
绝版装扮,褐色精灵,裙子,白色铃兰,210
绝版装扮,褐色精灵,鞋子,白色铃兰,210
花牌装扮,春草柔碧,头饰,黄色雪莲,50
花牌装扮,春草柔碧,头发,白色雪莲,80
花牌装扮,春草柔碧,上衣,黄色雪莲,100
花牌装扮,春草柔碧,扇子,紫色昙花,15
花牌装扮,春草柔碧,裙子,白色雪莲,100
花牌装扮,春草柔碧,脚饰,黄色昙花,50
花牌装扮,春草柔碧,鞋子,黄色雪莲,80
花牌装扮,冰玫瑰,头饰,紫色昙花,35
花牌装扮,冰玫瑰,头发,白色圣诞花,100
花牌装扮,冰玫瑰,项链,红色圣诞花,50
花牌装扮,冰玫瑰,上衣,紫色昙花,88
花牌装扮,冰玫瑰,手饰,粉色圣诞花,50
花牌装扮,冰玫瑰,裙子,红色圣诞花,150
花牌装扮,冰玫瑰,鞋子,黄色圣诞花,80
花牌装扮,落梅吟雪,头发,红色圣诞花,80
花牌装扮,落梅吟雪,头饰,蓝色冰雪花,45
花牌装扮,落梅吟雪,上衣,蓝色冰雪花,100
花牌装扮,落梅吟雪,手饰,白色雪滴花,45
花牌装扮,落梅吟雪,裙子,蓝色水仙花,100
花牌装扮,落梅吟雪,鞋子,白色雪绒花,75
花牌装扮,水仙云梦,头饰,白色迷迭香,50
花牌装扮,水仙云梦,头发,粉色迷迭香,70
花牌装扮,水仙云梦,项链,白色迷迭香,50
花牌装扮,水仙云梦,上衣,黄色迷迭香,80
花牌装扮,水仙云梦,手饰,黄色迷迭香,50
花牌装扮,水仙云梦,裙子,白色迷迭香,80
花牌装扮,水仙云梦,鞋子,粉色迷迭香,70
花牌装扮,兰芷清芬,头发,红色芙蓉花,70
花牌装扮,兰芷清芬,头饰,粉色茶花,55
花牌装扮,兰芷清芬,上衣,白色月亮花,180
花牌装扮,兰芷清芬,手饰,白色夜来香,55
花牌装扮,兰芷清芬,长裙,粉色月亮花,180
花牌装扮,兰芷清芬,鞋子,黄色月亮花,110
花牌装扮,花雨秋风,头发,白色仙客来,80
花牌装扮,花雨秋风,头饰,白色昙花,65
花牌装扮,花雨秋风,上衣,红色仙客来,110
花牌装扮,花雨秋风,手饰,白色月亮花,65
花牌装扮,花雨秋风,裙子,粉色仙客来,110
花牌装扮,花雨秋风,鞋子,黄色昙花,70
花牌装扮,清露芙蓉,衣服,白色夜来香,100
花牌装扮,清露芙蓉,手饰,白色夜来香,65
花牌装扮,清露芙蓉,裙子,白色夜来香,100
花牌装扮,清露芙蓉,脚饰,红色仙客来,65
花牌装扮,清露芙蓉,鞋子,粉色仙客来,70
花牌装扮,紫萼仙尘,头发,红色蔷薇,60
花牌装扮,紫萼仙尘,头饰,白色芦苇,120
花牌装扮,紫萼仙尘,手饰,黄色鸢尾,120
花牌装扮,紫萼仙尘,鞋子,红色仙客来,70
花牌装扮,朝华红舞,头发,白色仙客来,90
花牌装扮,朝华红舞,上衣,粉色仙客来,95
花牌装扮,朝华红舞,手持,红色仙客来,95
花牌装扮,松上鹤,项链,白色喇叭水仙,35
花牌装扮,桐上凤凰,头饰,粉色百合,45
花牌装扮,桐上凤凰,头发,红色茶花,55
花牌装扮,桐上凤凰,上衣,黄色美人蕉,70
花牌装扮,桐上凤凰,手环,紫色紫藤,35
花牌装扮,桐上凤凰,手持,白色芙蓉,70
花牌装扮,桐上凤凰,下装,紫色雨久花,70
花牌装扮,桐上凤凰,鞋子,黄色向日葵,45
